can_select,chance_of_playing_next_round,chance_of_playing_this_round,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,ep_next,ep_this,event_points,form,in_dreamteam,now_cost,points_per_game,selected_by_percent,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank_type,creativity_rank_type,threat_rank_type,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank_type,form_rank_type,points_per_game_rank_type,selected_rank_type,starts_per_90,clean_sheets_per_90,position_name,age,years_in_team,status_a,status_d,status_i,status_s,team_name_Arsenal,team_name_Aston Villa,team_name_Bournemouth,team_name_Brentford,team_name_Brighton,team_name_Burnley,team_name_Chelsea,team_name_Crystal Palace,team_name_Everton,team_name_Fulham,team_name_Leeds,team_name_Liverpool,team_name_Man City,team_name_Man Utd,team_name_Newcastle,team_name_Nott'm Forest,team_name_Spurs,team_name_Sunderland,team_name_West Ham,team_name_Wolves
1,0.0,0.0,0,0,0,0,0,0.0,,0,0.0,0,65,2.5,0.0,42,0,0,0,0,0.0,6.5,600,3,2,2,5,0,0,0,4,0,0,6,152,154.4,119.5,255.0,52.6,0,6,3.05,0.52,3.57,5.82,25,23,23,24,10.0,10.0,10.0,0.46,0.0,0.08,0.54,0.87,0.75,14,51,19,67,0.9,0.3,Forward,,,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,0.0,0.0,0,0,0,0,0,0.0,,0,0.0,0,50,3.0,0.2,111,0,0,0,0,0.0,22.2,3195,0,0,8,47,0,1,0,5,1,100,6,457,839.6,20.0,0.0,86.0,0,37,0.0,0.02,0.02,44.99,6,7,65,5,10.0,10.0,10.0,0.0,2.82,0.0,0.0,1.27,1.32,9,64,20,73,1.04,0.23,Goalkeeper,,,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,0.0,0.0,0,0,0,0,0,1.8,,0,0.0,0,45,0.0,0.5,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,68,61,48,68,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,18,46,68,47,0.0,0.0,Goalkeeper,,,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,0.0,0.0,0,0,0,0,0,0.5,,0,0.0,0,40,0.0,0.9,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,52,43,28,52,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,57,26,52,31,0.0,0.0,Goalkeeper,,,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,0.0,0.0,0,0,0,0,0,0.5,,0,0.0,0,40,0.0,0.5,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,51,42,27,51,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,56,25,51,48,0.0,0.0,Goalkeeper,,,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,0.0,0.0,0,0,0,0,0,1.4,,0,0.0,0,45,2.8,1.5,76,0,0,0,0,0.0,16.9,2069,1,1,7,22,0,0,0,7,0,0,2,286,359.2,181.0,171.0,71.3,0,24,0.48,1.23,1.71,28.64,61,43,38,60,10.0,10.0,10.0,0.02,0.0,0.05,0.07,1.25,0.96,84,105,46,50,1.04,0.3,Defender,,,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,0.0,0.0,0,0,0,0,0,1.4,,0,0.0,0,45,2.8,1.4,89,0,0,0,0,0.0,19.8,2348,0,5,6,36,0,0,0,4,0,0,7,383,512.6,583.9,112.0,120.7,0,28,0.8,3.97,4.77,34.94,41,7,64,20,10.0,10.0,10.0,0.03,0.0,0.15,0.18,1.34,1.38,67,88,43,53,1.07,0.23,Defender,,,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,0.0,0.0,0,0,0,0,0,1.4,,0,0.0,0,45,3.0,15.4,103,0,0,0,0,0.0,22.9,2936,2,0,8,45,0,0,0,1,0,0,10,448,532.8,123.9,166.0,82.4,0,33,1.29,0.61,1.9,43.82,39,63,40,48,10.0,10.0,10.0,0.04,0.0,0.02,0.06,1.34,1.38,85,106,36,10,1.01,0.25,Defender,,,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,0.0,0.0,0,0,0,0,0,1.4,,0,0.0,0,45,2.0,1.2,57,0,0,0,0,0.0,12.7,1125,1,2,3,16,0,0,0,2,0,0,0,204,252.0,293.4,197.0,74.3,0,10,0.87,2.43,3.3,17.31,81,25,28,56,10.0,10.0,10.0,0.07,0.0,0.19,0.26,1.38,1.28,113,134,85,62,0.8,0.24,Defender,,,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,0.0,0.0,0,0,0,0,0,1.4,,0,0.0,0,45,3.4,0.4,47,0,0,0,0,0.0,10.4,1119,0,1,4,11,0,0,0,1,0,0,5,207,220.4,49.2,74.0,34.6,0,12,0.88,0.23,1.11,13.2,84,102,81,95,10.0,10.0,10.0,0.07,0.0,0.02,0.09,1.06,0.88,77,98,17,155,0.97,0.32,Defender,,,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
